Witness_Gender,Witness_Age,Estimated_Altitude_ft,UFO_Shape,Duration_Seconds,Sighting_Date,Region
,52.37998171787876,16599.0,,441.8430337762724,,Mountain
Unknown,77.29121875467987,8031.0,Triangle,871.0336668842406,,East
Female,,27069.0,Disk,1636.2461977690978,07/03/2023,Coastal
,40.20343399479134,24388.0,Light,1300.413748531965,13/03/2023,Mountain
Male,34.055394409880336,10371.0,Disk,996.80328144094,20/08/2023,Midwest
Unknown,47.55569969176303,1499.0,Circle,467.79739178276606,,Mountain
,75.5425865621201,21400.0,Oval,701.092593028034,04/01/2022,South
Unknown,60.50291815711869,22171.0,,320.23027916606156,06/12/2023,West
Non-binary,,3505.0,Formation,,17/12/2023,West
Male,35.893953447981744,23965.0,Fireball,1267.582499933839,,Mountain
,83.61655392951096,20405.0,Disk,,09/08/2023,Mountain
Unknown,,6242.0,Disk,1215.1329956679817,,South
,33.22313261077491,19103.0,Fireball,846.5038439128411,07/01/2023,Midwest
Non-binary,35.055678955591475,20585.0,Disk,1707.29477696959,24/08/2023,South
Male,,13978.0,Fireball,884.1689589896682,23/08/2022,East
Unknown,,25430.0,Oval,1240.8538869196634,16/06/2022,East
Female,71.18410223898604,20886.0,Formation,218.11485111383615,31/03/2023,East
Non-binary,49.01318820783272,22174.0,Light,790.9240626135436,27/04/2023,West
Non-binary,,16791.0,,,23/03/2022,East
Female,67.21513246542673,29392.0,Light,,17/02/2022,North
Non-binary,23.205108996519478,22988.0,Disk,92.94143094426103,30/03/2023,Coastal
,,7722.0,Cigar,1402.5670013187341,14/01/2023,North
Unknown,57.56749336216166,23853.0,Cigar,469.13434417167815,,West
Male,38.34939480853301,1221.0,Light,1779.3970211078201,20/11/2022,North
Non-binary,17.205225127948097,28806.0,Oval,,20/03/2022,East
Non-binary,46.878829115663706,27380.0,Fireball,1074.6634621226208,15/11/2022,Coastal
Non-binary,,22097.0,Circle,,04/05/2023,Mountain
Male,51.69633148692708,7309.0,Triangle,1037.9034637539787,28/02/2022,North
,55.48402490119944,7107.0,Light,,28/06/2023,South
Non-binary,70.58701345930379,15583.0,Fireball,1317.9466758662932,29/07/2023,North
Unknown,24.06720657701274,18431.0,Triangle,1645.4565845752404,20/10/2022,Coastal
,79.04528264481287,4985.0,,1507.6575082576944,29/08/2022,North
Male,,29115.0,Cigar,,08/07/2023,Coastal
Female,19.845835130455605,2922.0,Light,1358.6462881509729,05/11/2023,North
Male,71.71898831699679,25754.0,Triangle,923.4020776624521,19/07/2022,East
,47.54312688541737,13588.0,,1210.2951356453327,26/03/2022,Mountain
Non-binary,83.61101653589279,1358.0,,186.89697767074094,10/02/2022,North
Unknown,68.74566369185433,29490.0,Disk,,,South
,19.695212642724556,3675.0,Circle,190.2553960216677,14/11/2022,South
Unknown,53.42407093095663,9307.0,Oval,919.5798606254344,,North
Unknown,84.08697170589433,2710.0,Cigar,1465.8488221921891,28/03/2023,North
Unknown,84.1000074436061,3011.0,Disk,1501.0426449188271,12/12/2022,West
Female,62.91260063896649,11420.0,Fireball,807.1982513922679,13/12/2022,East
Male,51.678016703317745,6064.0,Fireball,1407.2590615314275,23/05/2022,West
Female,21.645495003335988,1841.0,Fireball,538.7571168903547,28/12/2022,North
Female,35.1793558215425,13045.0,Light,,04/09/2023,North
Unknown,,13958.0,Fireball,1021.2299197971856,17/01/2023,North
Unknown,58.93484770977049,9751.0,Triangle,1226.5388844321822,26/09/2023,Midwest
,65.51451933451747,5584.0,Light,,28/06/2023,South
Unknown,75.35081220419193,12955.0,Fireball,127.55618866349859,17/12/2022,Coastal
,53.85879633528496,12114.0,Cigar,674.1494057554111,,Coastal
Unknown,23.51094393821343,26015.0,Oval,1717.137042778589,15/11/2022,Mountain
Unknown,78.86292611478056,29969.0,Light,,05/09/2022,West
Non-binary,78.1844157539204,7767.0,Oval,299.55112616163063,20/04/2023,South
Non-binary,41.196317661535375,25352.0,Cigar,,16/01/2023,West
Non-binary,66.59043320353439,27857.0,Light,1619.2192469537424,10/03/2022,Midwest
Male,51.33501444154197,16958.0,,563.1038575477369,24/06/2022,North
Female,76.6335345945067,9202.0,Oval,457.9272478089886,28/01/2023,East
Female,81.66069989366899,17027.0,Light,,07/02/2022,East
Female,63.83120106371613,1685.0,Disk,,04/04/2022,West
Male,66.70998796557902,21443.0,Disk,1432.6228066950448,,Coastal
Female,71.98341314997,28125.0,Formation,1545.614238757822,01/02/2022,East
Unknown,42.183712857556046,11381.0,,,,Mountain
Female,48.51145529460697,8502.0,,,14/05/2023,South
Non-binary,79.41448859533892,14482.0,Formation,1764.5174443926605,09/08/2022,East
Male,75.85529816798608,12120.0,Triangle,,10/06/2022,South
,34.930369968007625,9611.0,Formation,,19/09/2022,North
Male,43.896100944960885,4758.0,Fireball,967.190123580123,,North
Unknown,,21789.0,,1345.220505740657,11/09/2022,Mountain
Female,53.083963402588296,3789.0,Circle,1283.7086157418971,10/06/2022,East
Female,16.175753064482453,3117.0,,1792.0175119856715,26/05/2022,East
Female,41.13279078533682,28072.0,Formation,728.7460032721237,28/06/2022,South
Non-binary,74.04706926899658,29477.0,Triangle,,16/09/2023,Coastal
Non-binary,18.894977381283798,8023.0,,1318.9636357279753,12/03/2022,South
Unknown,34.05760264235943,25771.0,Cigar,273.52541521101676,29/09/2023,Mountain
Male,35.265607098914444,20432.0,Formation,1156.774673417384,21/01/2022,East
,38.48508066806035,15644.0,Triangle,724.9818563035575,,South
Non-binary,25.575046708209804,13463.0,Formation,21.091663089053185,02/09/2023,Midwest
Unknown,72.52652558692358,16742.0,Cigar,1531.7072712239442,,West
Unknown,37.408843892992415,6776.0,Disk,586.2388250205063,03/01/2023,West
Female,38.052681476341384,28043.0,Formation,,22/11/2023,Mountain
,73.10448789924413,1256.0,Oval,,12/08/2023,West
Unknown,65.05510182781708,14140.0,Formation,922.8863150182991,07/10/2023,North
Female,75.12065236032808,23413.0,Formation,354.5326854775421,16/03/2022,Midwest
Female,64.28581821265996,9039.0,Light,1400.7729165696157,21/11/2023,Midwest
Male,51.78929462807687,946.0,Formation,,07/02/2022,Mountain
Non-binary,30.05708694391633,4664.0,Triangle,1694.468053856594,09/05/2023,South
Female,23.774406851960613,2344.0,,,23/08/2022,East
,33.46994197629127,11142.0,Formation,,21/01/2023,North
Female,64.0169320961107,5980.0,Fireball,485.750115047937,23/08/2023,West
Non-binary,36.28895794866519,2704.0,Circle,1174.1374280986738,14/05/2022,East
Non-binary,,25636.0,,,,North
Male,53.03476665441126,7954.0,Oval,,04/08/2023,Coastal
Unknown,22.215528278164896,15432.0,Circle,,,Mountain
Non-binary,59.56897579892476,5982.0,Triangle,611.8303578340705,03/03/2023,West
Non-binary,23.35705352513964,1329.0,Light,,08/08/2022,Midwest
Non-binary,23.438518278161375,21944.0,,,08/04/2022,West
Male,26.297874232106484,23251.0,Triangle,115.91615195721185,15/03/2023,North
Female,60.0755383927128,29981.0,,693.0109231207317,,South
