Position,Jersey_No,Scholarship_Value,Conference,Points_Scored,Game_Date,Eligibility
,100,900000,Big-10,,15/6/2022,professor
Forward,191,65000,SEC,3000,1/7/2022,illiterate
Forward,,70000,ACC,7000,5/4/2022,illiterate
,100,900000,Big-10,,15/6/2022,professor
Forward,,70000,ACC,7000,5/4/2022,illiterate
,100,900000,Big-10,,15/6/2022,professor
Forward,,70000,ACC,7000,5/4/2022,illiterate
,100,900000,Big-10,,15/6/2022,professor
Forward,,70000,ACC,7000,5/4/2022,illiterate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Forward,,70000,ACC,7000,5/4/2022,illiterate
,2,900000,Big-10,,15/6/2022,mid-school
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,122,900000,Big-10,0,15/6/2022,professor
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,121,900000,Big-10,,15/6/2022,professor
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Forward,45,,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,3,900000,Big-10,,15/6/2022,mid-school
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,0,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,3,900000,Big-10,,15/6/2022,mid-school
Forward,45,no scholarship,SEC,1500,1/3/2022,masters
Guard,50,120000,Big-12,,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,4,900000,Big-10,,15/6/2022,mid-school
Forward,45,no scholarship,SEC,,1/3/2022,masters
Guard,50,120000,Big-12,,,doctorate
Guard,60,80000,,5000,10/5/2022,professor
,2,900000,Big-10,,15/6/2022,mid-school
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Guard,60,80000,,5000,10/5/2022,professor
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,122,900000,Big-10,0,15/6/2022,professor
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,121,900000,Big-10,,15/6/2022,professor
Guard,2,72000,Big-12,,20/8/2022,mid-school
Forward,30,60000,Big-10,,20/2/2022,college
Guard,50,120000,Big-12,,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,100,900000,Big-10,,15/6/2022,professor
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,3,900000,Big-10,,15/6/2022,mid-school
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,0,20/2/2022,college
Guard,50,120000,Big-12,0,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,3,900000,Big-10,,15/6/2022,mid-school
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,,20/2/2022,college
Guard,50,120000,Big-12,,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,4,900000,Big-10,,15/6/2022,mid-school
Guard,29,72000,Big-12,,20/8/2022,college
Forward,30,60000,Big-10,,20/2/2022,college
Forward,45,no scholarship,SEC,,1/3/2022,masters
Guard,50,120000,Big-12,,,doctorate
Forward,,70000,ACC,7000,5/4/2022,illiterate
Guard,60,80000,,5000,10/5/2022,professor
,2,900000,Big-10,,15/6/2022,mid-school
Guard,29,72000,Big-12,,20/8/2022,college
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,0,,doctorate
Guard,50,120000,Big-12,,,doctorate
Guard,50,120000,Big-12,,,doctorate
Guard,25,50000,ACC,2000,20/8/2022,high-school
Forward,30,60000,Big-10,3568.96,20/8/2022,college
