Position,Jersey_No,Scholarship_Amt,Division,Stat_Value,Commitment_date,Class
,121,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
,3,900000,D2,,15/6/2022,Freshman
,4,900000,D2,,15/6/2022,Freshman
,2,900000,D2,,15/6/2022,Freshman
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,122,900000,D2,0,15/6/2022,Coach
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,121,900000,D2,,15/6/2022,Coach
Pitcher,2,72000,NAIA,,20/8/2022,Freshman
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Infield,191,65000,D3,0.300,1/7/2022,Redshirt
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Infield,,70000,D1,0.700,5/4/2022,Redshirt
,2,900000,D2,,15/6/2022,Freshman
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,122,900000,D2,0,15/6/2022,Coach
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,121,900000,D2,,15/6/2022,Coach
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Infield,45,,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Infield,45,no income,D3,0.150,1/3/2022,Graduate
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,4,900000,D2,,15/6/2022,Freshman
Infield,45,no income,D3,,1/3/2022,Graduate
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,60,80000,,0.500,10/5/2022,Coach
,2,900000,D2,,15/6/2022,Freshman
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,122,900000,D2,0,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,121,900000,D2,,15/6/2022,Coach
Pitcher,2,72000,NAIA,,20/8/2022,Freshman
Infield,30,60000,D2,,20/2/2022,Junior
Pitcher,50,120000,NAIA,,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,,20/2/2022,Junior
Pitcher,50,120000,NAIA,,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,4,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Infield,30,60000,D2,,20/2/2022,Junior
Infield,45,no income,D3,,1/3/2022,Graduate
Pitcher,50,120000,NAIA,,,Recruiter
Infield,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,2,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,0,,Recruiter
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,50,120000,NAIA,,,Recruiter
Pitcher,25,50000,D1,0.200,20/8/2022,Senior
Infield,30,60000,D2,0.356,20/8/2022,Junior
