Gender,Age,Songs_in_Library,Plan_Type,Monthly_Minutes_Listened,Last_Active_Date,Favorite_Genre
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,100.0,900000,Free,,15/6/2022,Classical
Female,191.0,65000,Student,3000.0,1/7/2022,Lo-fi
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,100.0,900000,Free,,15/6/2022,Classical
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,100.0,900000,Free,,15/6/2022,Classical
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,100.0,900000,Free,,15/6/2022,Classical
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,2.0,900000,Free,,15/6/2022,Indie
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,122.0,900000,Free,0.0,15/6/2022,Classical
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,121.0,900000,Free,,15/6/2022,Classical
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Female,45.0,,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,3.0,900000,Free,,15/6/2022,Indie
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,0.0,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,3.0,900000,Free,,15/6/2022,Indie
Female,45.0,no income,Student,1500.0,1/3/2022,Jazz
Male,50.0,120000,Family,,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,4.0,900000,Free,,15/6/2022,Indie
Female,45.0,no income,Student,,1/3/2022,Jazz
Male,50.0,120000,Family,,,Electronic
Male,60.0,80000,,5000.0,10/5/2022,Classical
,2.0,900000,Free,,15/6/2022,Indie
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Male,60.0,80000,,5000.0,10/5/2022,Classical
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,122.0,900000,Free,0.0,15/6/2022,Classical
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,121.0,900000,Free,,15/6/2022,Classical
Male,2.0,72000,Family,,20/8/2022,Indie
Female,30.0,60000,Free,,20/2/2022,Hip-Hop
Male,50.0,120000,Family,,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,3.0,900000,Free,,15/6/2022,Indie
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,0.0,20/2/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,3.0,900000,Free,,15/6/2022,Indie
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,,20/2/2022,Hip-Hop
Male,50.0,120000,Family,,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,4.0,900000,Free,,15/6/2022,Indie
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Female,30.0,60000,Free,,20/2/2022,Hip-Hop
Female,45.0,no income,Student,,1/3/2022,Jazz
Male,50.0,120000,Family,,,Electronic
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
Male,60.0,80000,,5000.0,10/5/2022,Classical
,2.0,900000,Free,,15/6/2022,Indie
Male,29.0,72000,Family,,20/8/2022,Hip-Hop
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,0.0,,Electronic
Male,50.0,120000,Family,,,Electronic
Male,50.0,120000,Family,,,Electronic
Male,25.0,50000,Premium,2000.0,20/8/2022,Pop
Female,30.0,60000,Free,3568.96,20/8/2022,Hip-Hop
