Platform_Type,Release_Year,Sales_Millions,Genre,Critic_Score,Release_Date,ESRB_Rating
PC,2009.0,,RPG,80.34,05/10/2022,RP
Console,2023.0,120.2,Action,86.64,,RP
Console,2018.0,50.5,,98.79,26/02/2020,RP
,2010.0,120.2,Indie,,13/01/2021,E10+
Console,2006.0,no sales,RPG,67.01,17/04/2020,E
Console,2018.0,75.0,Sports,64.4,,RP
Console,2001.0,50.5,,65.29,22/07/2023,T
,2008.0,120.2,Action,,24/03/2020,E
Console,2013.0,120.2,RPG,51.31,03/05/2020,T
PC,2005.0,10.0,Indie,,,RP
Console,2008.0,10.0,,82.2,22/10/2022,E
,2012.0,75.0,Sports,,22/09/2021,RP
PC,2017.0,10.0,RPG,,24/03/2020,M
PC,2006.0,no sales,RPG,,,RP
Console,2011.0,10.0,,86.95,05/04/2020,RP
,2000.0,no sales,Indie,,10/01/2023,RP
PC,2006.0,no sales,,62.1,20/05/2022,T
PC,2022.0,75.0,,83.23,12/03/2021,E
PC,2006.0,no sales,,62.63,20/11/2023,E
PC,2021.0,120.2,,88.27,20/06/2023,E10+
Console,2016.0,50.5,,97.06,30/11/2022,E10+
PC,2007.0,no sales,,74.66,04/02/2022,E
PC,2014.0,75.0,,68.25,17/02/2022,RP
PC,2020.0,75.0,,66.75,10/03/2021,E10+
PC,2004.0,120.2,,61.9,12/04/2020,RP
Console,2009.0,120.2,,95.52,26/01/2020,M
PC,2003.0,10.0,Sports,62.23,06/05/2023,M
Console,2018.0,50.5,Action,88.81,,RP
PC,,50.5,Indie,75.17,11/11/2023,E10+
Console,2010.0,120.2,,80.36,09/02/2020,T
,2023.0,120.2,RPG,53.11,02/05/2021,M
Console,2002.0,75.0,Action,,30/12/2021,E
PC,2004.0,10.0,Sports,82.21,06/04/2020,E10+
Console,2012.0,10.0,Action,99.22,,E10+
PC,,10.0,Action,83.85,01/02/2022,M
Console,2008.0,75.0,,60.07,05/12/2022,E10+
,2006.0,120.2,RPG,,30/06/2021,RP
PC,2003.0,10.0,Indie,,19/07/2020,RP
PC,2006.0,120.2,RPG,,17/06/2020,RP
PC,2016.0,75.0,Indie,,,E
PC,,75.0,Action,52.57,16/06/2023,RP
Console,2001.0,75.0,,62.21,27/05/2022,RP
,2002.0,75.0,RPG,,08/05/2023,E
Console,2007.0,75.0,Action,,13/10/2021,E
PC,2008.0,no sales,Sports,87.38,17/05/2023,M
PC,2021.0,no sales,Sports,55.12,,T
PC,,75.0,Indie,74.54,22/03/2020,T
Console,2020.0,no sales,,50.64,22/11/2023,E10+
,2012.0,10.0,RPG,,30/01/2022,M
PC,2005.0,120.2,RPG,,14/09/2021,RP
PC,2002.0,50.5,RPG,93.09,04/11/2022,E
Console,2010.0,10.0,Sports,95.61,,T
Console,,10.0,Sports,58.81,15/09/2021,E
Console,2011.0,10.0,,86.77,03/03/2020,E10+
,2021.0,no sales,RPG,,08/10/2022,E10+
Console,2008.0,75.0,Indie,,22/03/2021,M
PC,2000.0,75.0,Action,83.33,25/03/2023,M
Console,2003.0,120.2,Action,76.79,,RP
PC,,50.5,Indie,60.74,22/09/2022,E10+
PC,2005.0,no sales,,79.68,05/07/2021,E10+
,2011.0,120.2,Indie,,15/06/2023,E
Console,2012.0,50.5,RPG,,21/07/2020,T
PC,2018.0,no sales,Sports,99.72,01/07/2020,M
PC,2018.0,50.5,Indie,78.57,,RP
Console,,no sales,Indie,64.65,15/05/2021,M
Console,2018.0,10.0,,72.92,31/12/2021,E10+
,2019.0,120.2,Sports,,06/05/2021,E10+
Console,2008.0,no sales,RPG,,06/08/2023,E
PC,2009.0,75.0,Indie,98.28,04/06/2021,E10+
Console,2015.0,50.5,Indie,91.44,,T
Console,,10.0,Indie,71.71,02/03/2020,M
PC,2018.0,no sales,,57.72,21/12/2023,T
,2020.0,75.0,Sports,,10/08/2022,E10+
Console,2006.0,no sales,Action,,07/11/2020,M
PC,2003.0,10.0,Indie,,19/04/2023,T
PC,2016.0,10.0,Indie,,,E
Console,,50.5,Sports,80.1,19/06/2021,E
Console,2004.0,no sales,,60.06,14/07/2023,RP
,2012.0,10.0,Indie,,12/02/2023,RP
Console,2006.0,50.5,RPG,,17/08/2023,T
Console,2002.0,no sales,Action,,06/06/2023,T
Console,2000.0,10.0,Action,,31/12/2023,M
PC,2010.0,120.2,Indie,,,T
Console,,120.2,Sports,70.8,25/05/2020,M
Console,2001.0,10.0,,88.33,30/01/2021,M
,2013.0,75.0,Indie,,14/04/2023,E10+
Console,2011.0,10.0,Indie,,23/12/2020,RP
Console,2015.0,75.0,Indie,83.41,,E
PC,2012.0,120.2,Sports,73.79,,RP
Console,2008.0,50.5,Sports,,,M
Console,2022.0,75.0,Indie,81.21,,RP
Console,2012.0,no sales,Sports,67.91,,RP
Console,2009.0,120.2,RPG,75.48,,E
Console,2021.0,120.2,Indie,96.06,,T
PC,2005.0,no sales,Action,73.78,,T
Console,2000.0,75.0,Sports,,,M
PC,2010.0,75.0,Indie,,,E
PC,2007.0,no sales,Indie,74.2,31/07/2020,T
PC,2003.0,no sales,Action,76.16,15/08/2020,E
