Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Survey_Date
Czech Republic,Latin America and Caribbean,6.035,1.564,0.772,0.858,6/9/2023
Netherlands,East Asia,,1.355,0.996,0.226,
Finland,Latin America and Caribbean,5.572,1.956,0.642,0.816,2/11/2023
Lithuania,East Asia,3.433,1.62,,0.281,7/7/2023
Costa Rica,,7.009,0.777,1.167,0.247,3/7/2023
Norway,,4.54,0.62,,0.248,22/7/2023
,Western Europe,3.895,1.592,1.239,0.833,23/5/2023
Spain,Latin America and Caribbean,3.196,0.545,,0.699,8/9/2023
,East Asia,5.836,1.496,,0.571,7/5/2023
Singapore,,6.252,2.098,,0.423,3/12/2023
,,3.08,1.478,1.239,0.889,10/8/2023
Slovenia,Latin America and Caribbean,5.458,1.16,,0.453,22/3/2023
United Kingdom,Latin America and Caribbean,4.087,1.594,1.35,0.835,
Costa Rica,,6.097,1.279,1.072,0.495,
Canada,North America and ANZ,,1.428,1.437,0.439,26/11/2023
Australia,,6.317,2.1,1.107,0.516,2/2/2023
New Zealand,,4.856,1.156,1.117,0.371,23/1/2023
Czech Republic,North America and ANZ,7.496,2.134,1.464,0.773,21/2/2023
Slovakia,Central and Eastern Europe,,2.039,0.944,0.552,
Switzerland,,4.637,0.833,0.647,0.309,4/8/2023
Singapore,Latin America and Caribbean,3.545,0.618,,0.91,21/9/2023
Czech Republic,,7.439,0.671,1.331,0.446,28/7/2023
Finland,East Asia,7.211,0.531,1.182,0.589,10/1/2023
Lithuania,,4.238,0.661,,0.916,28/3/2023
,East Asia,6.168,1.661,0.734,0.662,
Ireland,North America and ANZ,6.923,0.621,0.65,0.205,19/9/2023
Slovenia,Southeast Asia,5.665,1.042,0.516,0.946,8/8/2023
