Gender,Age,Starting_Salary,Major,Student_Debt,Graduation_Date,Degree_Level
Female,30.0,53700.0,History,,27/6/2015,Bachelor's
Female,45.0,51700.0,Biology,,8/6/2023,Associate's
Male,50.0,52800.0,Psychology,,,Bachelor's
Female,,63800.0,History,46286.16,12/5/2015,Master's
Male,60.0,70100.0,,16198.99,13/5/2021,Associate's
,2.0,69200.0,Computer Science,,25/5/2016,Master's
Male,29.0,77400.0,Biology,,21/5/2019,Master's
Male,50.0,65200.0,Biology,33840.65,,PhD
Male,50.0,86800.0,Biology,29673.05,,PhD
Male,50.0,61000.0,Psychology,,,Master's
Male,50.0,105800.0,History,29108.8,,Master's
Male,50.0,74400.0,Psychology,16955.3,,Master's
Male,50.0,52100.0,Art,36696.73,,PhD
Male,50.0,48900.0,Nursing,33665.98,,PhD
Male,50.0,72200.0,Nursing,20601.2,,Bachelor's
Male,50.0,61600.0,Art,,,Bachelor's
Male,50.0,75700.0,History,,,Master's
Male,25.0,72100.0,Engineering,29373.21,28/5/2022,Associate's
Female,30.0,63900.0,Psychology,39551.42,22/5/2018,Associate's
